"id";"id_tipo_actividad_academica";"titulo";"descripcion";"nivel_uno";"nivel_dos";"minutos_duracion";"materiales"
"1";"1";"Juego de la Caja sorpresa";" Preparar una caja sorpresa con muñecos pequeños y tarjetas con imágenes simples. Los niños se sientan en un círculo y la docente pasa la caja sorpresa alrededor del círculo. Cada niño saca un muñeco o tarjeta de la caja y se presenta diciendo ""I am a boy/girl and I have a [muñeco/profesión/actividad]."" Los niños muestran su muñeco o tarjeta al grupo, repitiendo la presentación. Preparar una caja sorpresa con tarjetas de acciones y muñecos en diferentes posiciones. Los niños se sientan en un círculo y la docente pasa la caja sorpresa alrededor del círculo. Cada niño saca una tarjeta de acción o un muñeco y se presenta diciendo ""I am a boy/girl and I can [acción]."" Los niños realizan la acción indicada y el grupo imita la acción.";"Describir lo que el muñeco o personaje de la tarjeta está haciendo";"Cambiar tarjetas entre sí y realizar nuevas presentaciones con diferentes acciones.";"45";"Una caja sorpresa, tarjetas con acciones [correr, saltar, bailar] y muñecos en diferentes posiciones."
"2";"1";"Juego del Espejo";"Colocar un espejo grande en la sala y organiza a los niños frente al espejo. Cada niño se presenta frente al espejo diciendo ""I am a boy/girl"" y luego realiza un movimiento simple [saltar, girar]. Los demás niños imitan el movimiento mientras repiten ""I am a boy/girl."" Colocar un espejo grande en la sala y organiza a los niños frente al espejo. Cada niño se presenta frente al espejo diciendo ""I am a boy/girl"" y luego hace una expresión facial [feliz, triste, sorprendido]. Los demás niños imitan la expresión facial mientras repiten ""I am a boy/girl.""";"Cambiar los movimientos y repetir el juego con nuevas presentaciones.";"Cambiar las expresiones faciales y repetir el juego con nuevas presentaciones.";"45";"Un espejo de cuerpo entero"
"3";"1";"Círculo de Presentaciones con Objetos";"Los niños se sientan en un círculo con una selección de objetos simples en el centro. Cada niño elige un objeto y se presenta diciendo ""I am a boy/girl and I have a [objeto]."" Los niños muestran su objeto al grupo y explican brevemente lo que es. Variación: Los niños pueden intercambiar objetos y repetir la presentación. Los niños se sientan en un círculo con sus objetos personales. Cada niño se presenta diciendo ""I am a boy/girl and this is my [objeto],"" explicando por qué es importante para ellos. Los niños muestran su objeto al grupo y responden a preguntas de sus compañeros.";"Intercambiar objetos y repetir la presentación.";"Crear una breve historia sobre su objeto y compartirla con el grupo, comenzando con ""I am a boy/girl.""";"45";"Objetos personales que los niños traen de casa [un juguete favorito, una foto]."
"4";"1";"Juego de Caza de Colores";"Esconder tarjetas de colores amarillo, azul y rojo por el aula. Los niños buscan las tarjetas y, cuando encuentran una, dicen ""Yellow,"" ""Blue,"" o ""Red"" según el color de la tarjeta. Los niños colocan las tarjetas en las canastas o cajas correspondientes a cada color. Colocar papel de colores en cada vagón del tren de juguete. Los niños se turnan para añadir un vagón al tren, diciendo ""Yellow,"" ""Blue,"" o ""Red"" según el color del vagón. Los niños crean una secuencia de colores con los vagones [por ejemplo, amarillo, azul, rojo] y repiten la secuencia varias veces. Una vez que todos los vagones están en el tren, los niños pasean el tren por el aula, repitiendo los colores y la secuencia.";"Trabajar en parejas, ayudándose mutuamente a encontrar y verbalizar los colores.";"Contar cuántos objetos de cada color han encontrado y comparar con sus compañeros.";"45";"Tarjetas de colores [amarillo, azul, rojo], Objetos pequeños de colores [bloques, juguetes] en amarillo, azul y rojo, canastas o cajas."
"5";"1";"Juego del Tren de Colores";"Colocar papel de colores en cada vagón del tren de juguete. Los niños se turnan para añadir un vagón al tren, diciendo ""Yellow,"" ""Blue,"" o ""Red"" según el color del vagón. Una vez que todos los vagones están en el tren, los niños pueden pasear el tren por el aula, repitiendo los colores de los vagones. Colocar papel de colores en cada vagón del tren de juguete. Los niños se turnan para añadir un vagón al tren, diciendo ""Yellow,"" ""Blue,"" o ""Red"" según el color del vagón. Los niños crean una secuencia de colores con los vagones [por ejemplo, amarillo, azul, rojo] y repiten la secuencia varias veces. Una vez que todos los vagones están en el tren, los niños pasean el tren por el aula, repitiendo los colores y la secuencia.";"Cantar una canción sencilla que incluya los colores del tren mientras lo mueven.";"Intentar hacer nuevas secuencias de colores y ver si sus compañeros pueden repetirlas.";"45";"Vagones de tren de juguete [o bloques que puedan representar vagones], papel de colores [amarillo, azul, rojo]."
"6";"1";"Juego Clasificación de Colores";"Repartir tarjetas de colores entre los niños. Cada niño, por turno, muestra una tarjeta y dice ""Yellow,"" ""Blue,"" o ""Red."" Los niños colocan las tarjetas en las bandejas correspondientes a cada color. Colocar una mezcla de objetos de diferentes colores en una mesa. Cada niño, por turno, elige un objeto y dice ""Yellow,"" ""Blue,"" o ""Red."" Los niños colocan los objetos en las bandejas correspondientes a cada color.";"Formar un círculo y pasar las tarjetas hasta que todos hayan clasificado varias tarjetas.";"Describir los objetos antes de clasificarlos, por ejemplo, ""This is a red block.""";"45";"Tarjetas de colores [amarillo, azul, rojo], Objetos pequeños de colores [bloques, juguetes] en amarillo, azul y rojo, bandejas. "
"7";"1";"Imágenes Simples";"Los niños se sientan en un círculo y el maestro muestra una imagen de un objeto familiar. Los niños describen lo que ven en la imagen [color, forma, nombre del objeto]. Cada niño tiene la oportunidad de hablar sobre la imagen. Los niños se sientan en un círculo y el maestro muestra una imagen de una escena más compleja. Los niños describen lo que ven en la imagen [acciones, personas, objetos]. La docente hace preguntas para fomentar la interpretación [¿Qué crees que está haciendo esta persona?].";"Señalar y nombrar los objetos en la imagen en voz alta";"Crear una historia corta sobre lo que ven en la escena";"45";"Imágenes de objetos familiares [frutas, animales, juguetes], Imágenes de escenas más complejas [parques, mercados, fiestas]."
"8";"1";"Juego de Identificación de Imágenes";"La docente muestra una tarjeta de imagen a los niños. Los niños nombran el objeto en la tarjeta. Se coloca la tarjeta en una tabla de clasificación según categorías [animales, frutas, juguetes]. La docente muestra dos tarjetas de imágenes a los niños. Los niños comparan y contrastan las dos imágenes [¿En qué se parecen? ¿En qué son diferentes?]. Los niños colocan las tarjetas en una tabla de comparación.";"Agrupar las tarjetas según diferentes características [color, tamaño].";"Trabajar en parejas para discutir y comparar las imágenes.";"45";"Tarjetas de imágenes con objetos familiares, Tarjetas de imágenes con pares de objetos similares y diferentes"
"9";"1";"Juego de Soplo";"Los niños reciben una pluma y una pajilla. Practican soplar la pluma a través de la pajilla para moverla sobre la mesa. Se hace una carrera para ver quién puede mover su pluma a una meta designada primero. Los niños reciben una bola de algodón y una pajilla. Practican soplar la bola de algodón a través de la pajilla para moverla sobre la mesa. Se hace una carrera para ver quién puede mover su bola de algodón a una meta designada primero.";"Soplar burbujas en agua usando la pajilla";"Soplar sobre una línea recta marcada en la mesa para practicar el control del soplo.";"45";"Plumas livianas, pajillas, bolas de algodón, líquido para burbujas"
"10";"1";"Ejercicios de Articulación";"La docente guía a los niños en una serie de movimientos con la lengua [sacar la lengua, moverla de un lado a otro, tocar el paladar]. Los niños imitan los movimientos del maestro. Se repiten los movimientos varias veces para practicar. La docente guía a los niños en movimientos más avanzados con la lengua y los labios [hacer burbujas con los labios, soplar suavemente]. Los niños imitan los movimientos del maestro. Se repiten los movimientos varias veces para practicar.";"Usar un espejo para ver sus propios movimientos y corregir su técnica.";"Hacer ejercicios de sonido como ""la-la-la"" o ""ma-ma-ma"" para combinar movimientos y sonidos.";"45";"Espejo"
